Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Image URL,Destination,Mode of Transportation,Total Budget,Number of People Traveling
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3.0,4.9,7511.0,Yes,https://www.rannutsav.com/blog/wp-content/uploads/2024/12/141013682_715635635803639_4674705074199093637_n-1.png,,,,
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/9/94/The_Golden_Temple_of_Amrithsar_7.jpg,,,,
Northern,Ladakh,Leh,Pangong Tso,Lake,2.0,4.9,21.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/00/2f/67/img-20180620-wa0007-largejpg.jpg?w=900&h=500&s=1,,,,
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,,,,
Western,Gujarat,Somnath,Somnath Temple,Temple,2.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,,,,
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Jallianwala_Bagh%2C_Amritsar_01.jpg/1200px-Jallianwala_Bagh%2C_Amritsar_01.jpg,,,,
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,2.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Wagah_border_ceremony2.jpg/800px-Wagah_border_ceremony2.jpg,,,,
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,,,,
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,,,,
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,11.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,,,,
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/4/49/1000_Year_loop.jpg,,,,
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2.0,4.8,2511.0,No,https://www.pandotrip.com/wp-content/uploads/2014/05/Top-10-Paragliding-Sites-Slovenia-Photo-by-Robert-Kovacs.jpg,,,,
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5.0,4.8,1.0,Yes,"https://ik.imagekit.io/wcarzmwtz/trekyaari-images/Triund_-_Trekyaari_26_-jY9cOl6O.jpeg?tr=w-2048,q-100",,,,
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,1.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,,,,
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1.0,4.8,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,,,,
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,2.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,,,,
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg/800px-Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg,,,,
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,,,,
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,,,,
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,1.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,,,,
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,1.0,4.8,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,,,,
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,1.5,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/800px-PremMandirSideViewFromCanteen.jpg,,,,
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1.0,4.8,1.0,Yes,https://faujitoursandtravels.com/wp-content/uploads/2024/08/kirti-mandir-scaled.jpg,,,,
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/74/Radharani_Temple_Barsana_2.jpg,,,,
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,1.5,4.8,1.0,Yes,https://cdn.britannica.com/66/250066-050-B34A9532/Brihadishvara-Temple-Thanjavur-Tamil-Nadu-India.jpg,,,,
Eastern,Sikkim,Ravangla,Buddha Park,Park,1.0,4.8,51.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ef/73/74/awesomeness-overloaded.jpg?w=900&h=500&s=1,,,,
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,1.0,4.8,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1,,,,
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,1.0,4.8,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg/800px-Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg,,,,
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,1.5,4.8,1.0,No,https://badrinath-kedarnath.gov.in/css_js_2024/img/kedarnath-4k.jpg,,,,
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,,,,
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,,,,
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,,,,
Eastern,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Belur_Math%2C_Howrah.jpg/1200px-Belur_Math%2C_Howrah.jpg,,,,
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2.0,4.7,1.0,No,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,,,,
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sree_Padmanabhaswamy_temple_01.jpg,,,,
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3.0,4.7,1.0,No,https://www.dailyartmagazine.com/wp-content/uploads/2020/08/stone-chariot-hampi-tourism-entry-fee-timings-holidays-reviews-header-1024x512.jpg,,,,
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1.0,4.7,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/73/8a/ad/murudeshwar.jpg?w=1200&h=1200&s=1,,,,
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1.0,4.7,15.0,No,https://media.meer.com/attachments/f7d6921ad0115a039e4a410081b28c60ab3f1564/store/fill/1090/613/b732c147bc434b3a19581501d1cbdcce7757cfefe3a28a417e8e9f9c9e03/An-entrance-into-the-Hoysaleshwara-temple-in-Halebidu.jpg,,,,
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ab/9c/b1/shirdi-sai-baba-mandir.jpg?w=1200&h=-1&s=1,,,,
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1.0,4.7,1.0,No,https://www.ganpatipule.co.in/images/slider/5.jpg,,,,
Western,Maharashtra,Ajanta,Ellora Caves,Cave,3.0,4.7,31.0,Yes,https://whc.unesco.org/uploads/thumbs/site_0243_0001-1200-630-20151104152442.jpg,,,,
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2.0,4.7,41.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Khajuraho_Group_of_Monuments_4.jpg/1200px-Khajuraho_Group_of_Monuments_4.jpg,,,,
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/250px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG,,,,
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1.0,4.7,1.0,Yes,https://cdn.prod.website-files.com/5ebb1b2c07f0f111e4ac241c/657afea045f2033b23a92839_ridge.webp,,,,
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,1.0,Yes,https://customtoursindia.com/wp-content/uploads/2024/07/Visiting-Dharamshala-Home-of-the-Dalai-Lama-in-India.webp,,,,
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,2.0,4.7,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e7/15/ff/barot-valley-view.jpg?w=900&h=500&s=1,,,,
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,5.0,4.7,151.0,No,https://upload.wikimedia.org/wikipedia/commons/2/21/%28A%29_Valley_of_flowers%2C_Garhwal_Uttarakhand_India.jpg,,,,
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,1.0,4.7,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kashi_Vishwanath.jpg,,,,
